code,name,name_en,parent_code,balance_nature,is_summary,is_foreign_currency,detail_tracking,is_locked
3339,"Phí, lệ phí và các khoản phải nộp khác",,333,2,0,0,,0
334,Phải trả người lao động,,,2,0,0,employee,1
335,Chi phí phải trả,,,1,0,0,,1
336,Phải trả nội bộ,,,1,1,0,,1
3361,Phải trả nội bộ về vốn kinh doanh,,336,1,0,0,,0
3362,Phải trả nội bộ về chênh lệch tỷ giá,,336,1,0,0,,0
3363,Phải trả nội bộ về chi phí đi vay đủ điều kiện được vốn hóa,,336,1,0,0,,0
3368,Phải trả nội bộ khác,,336,1,0,0,,0
337,Thanh toán theo tiến độ hợp đồng xây dựng,,,1,0,0,,1
338,"Phải trả, phải nộp khác",,,2,1,0,,1
3381,Tài sản thừa chờ giải quyết,,338,2,0,0,,0
3382,Kinh phí công đoàn,,338,2,0,0,,0
3383,Bảo hiểm xã hội,,338,2,0,0,,0
3384,Bảo hiểm y tế,,338,2,0,0,,0
3386,Bảo hiểm thất nghiệp,,338,2,0,0,,0
3387,Doanh thu chờ phân bổ,,338,2,0,0,,0
3388,"Phải trả, phải nộp khác",,338,2,0,0,,0
341,Vay và nợ thuê tài chính,,,1,1,0,,1
3411,Các khoản đi vay,,341,1,0,0,,0
3412,Nợ thuê tài chính,,341,1,0,0,,0
343,Trái phiếu phát hành,,,1,1,0,,1
3431,Trái phiếu thường,,343,1,0,0,,0
3432,Trái phiếu chuyển đổi,,343,1,0,0,,0
344,"Nhận ký quỹ, ký cược",,,1,0,0,,1
347,Thuế thu nhập hoãn lại phải trả,,,1,0,0,,1
352,Dự phòng phải trả,,,1,1,0,,1
3521,"Dự phòng bảo hành sản phẩm, hàng hóa",,352,1,0,0,,0
3522,Dự phòng bảo hành công trình xây dựng,,352,1,0,0,,0
3523,Dự phòng tái cơ cấu doanh nghiệp,,352,1,0,0,,0
3525,Dự phòng phải trả khác,,352,1,0,0,,0
353,"Quỹ khen thưởng, phúc lợi",,,1,1,0,,1
3531,Quỹ khen thưởng,,353,1,0,0,,0
3532,Quỹ phúc lợi,,353,1,0,0,,0
3533,Quỹ phúc lợi đã hình thành TSCĐ,,353,1,0,0,,0
3534,Quỹ thưởng ban quản lý điều hành công ty,,353,1,0,0,,0
356,Quỹ phát triển khoa học và công nghệ,,,1,1,0,,1
3561,Quỹ phát triển khoa học và công nghệ,,356,1,0,0,,0
3562,Quỹ phát triển khoa học và công nghệ đã hình thành tài sản,,356,1,0,0,,0
357,Quỹ bình ổn giá,,,1,0,0,,1
411,Vốn đầu tư của chủ sở hữu,,,1,1,0,,1
4111,Vốn góp của chủ sở hữu,,411,1,1,0,,0
41111,Cổ phiếu phổ thông có quyền biểu quyết,,4111,1,0,0,,0
41112,Cổ phiếu ưu đãi,,4111,1,0,0,,0
4112,Thặng dư vốn,,411,1,0,0,,0
4113,Quyền chọn chuyển đổi trái phiếu,,411,1,0,0,,0
4118,Vốn khác,,411,1,0,0,,0
412,Chênh lệch đánh giá lại tài sản,,,1,0,0,,1
413,Chênh lệch tỷ giá hối đoái,,,2,0,0,,1
414,Quỹ đầu tư phát triển,,,1,0,0,,1
418,Các quỹ khác thuộc vốn chủ sở hữu,,,1,0,0,,1
419,Cổ phiếu mua lại của chính mình,,,0,0,0,,1
421,Lợi nhuận sau thuế chưa phân phối,,,2,1,0,,1
4211,Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,,421,2,0,0,,0
4212,Lợi nhuận sau thuế chưa phân phối năm nay,,421,2,0,0,,0
511,Doanh thu bán hàng và cung cấp dịch vụ,,,3,0,0,,1
515,Doanh thu hoạt động tài chính,,,3,0,0,,1
521,Các khoản giảm trừ doanh thu,,,3,0,0,,1
621,"Chi phí nguyên liệu, vật liệu trực tiếp",,,3,0,0,,1
622,Chi phí nhân công trực tiếp,,,3,0,0,,1
623,Chi phí sử dụng máy thi công,,,3,1,0,,1
6231,Chi phí nhân công,,623,3,0,0,,0
6232,Chi phí vật liệu,,623,3,0,0,,0
6233,Chi phí dụng cụ sản xuất,,623,3,0,0,,0
6234,Chi phí khấu hao máy thi công,,623,3,0,0,,0
6237,Chi phí dịch vụ mua ngoài,,623,3,0,0,,0
6238,Chi phí bằng tiền khác,,623,3,0,0,,0
627,Chi phí sản xuất chung,,,3,1,0,,1
6271,Chi phí nhân viên phân xưởng,,627,3,0,0,,0
6272,Chi phí vật liệu,,627,3,0,0,,0
6273,Chi phí dụng cụ sản xuất,,627,3,0,0,,0
6274,Chi phí khấu hao TSCĐ,,627,3,0,0,,0
6275,"Thuế, phí, lệ phí",,627,3,0,0,,0
6277,Chi phí dịch vụ mua ngoài,,627,3,0,0,,0
6278,Chi phí bằng tiền khác,,627,3,0,0,,0
632,Giá vốn hàng bán,,,3,0,0,,1
635,Chi phí tài chính,,,3,0,0,,1
641,Chi phí bán hàng,,,3,1,0,,1
6411,Chi phí nhân viên,,641,3,0,0,,0
6412,"Chi phí vật liệu, bao bì",,641,3,0,0,,0
6413,"Chi phí dụng cụ, đồ dùng",,641,3,0,0,,0
6414,Chi phí khấu hao TSCĐ,,641,3,0,0,,0
6415,"Thuế, phí, lệ phí",,641,3,0,0,,0
6417,Chi phí dịch vụ mua ngoài,,641,3,0,0,,0
6418,Chi phí bằng tiền khác,,641,3,0,0,,0
642,Chi phí quản lý doanh nghiệp,,,3,1,0,,1
6421,Chi phí nhân viên quản lý,,642,3,0,0,,0
6422,Chi phí vật liệu quản lý,,642,3,0,0,,0
6423,Chi phí đồ dùng văn phòng,,642,3,0,0,,0
6424,Chi phí khấu hao TSCĐ,,642,3,0,0,,0
6425,"Thuế, phí và lệ phí",,642,3,0,0,,0
6426,Chi phí dự phòng,,642,3,0,0,,0
6427,Chi phí dịch vụ mua ngoài,,642,3,0,0,,0
6428,Chi phí bằng tiền khác,,642,3,0,0,,0
711,Thu nhập khác,,,3,0,0,,1
811,Chi phí khác,,,3,0,0,,1
821,Chi phí thuế thu nhập doanh nghiệp,,,3,1,0,,1
8211,Chi phí thuế TNDN hiện hành,,821,3,1,0,,0
82111,Chi phí thuế thu nhập doanh nghiệp hiện hành theo quy định của Luật thuế thu nhập doanh nghiệp,,8211,3,0,0,,0
82112,Chi phí thuế thu nhập doanh nghiệp bổ sung theo quy định về thuế tối thiểu toàn cầu,,8211,3,0,0,,0
8212,Chi phí thuế TNDN hoãn lại,,821,3,0,0,,0
911,Xác định kết quả kinh doanh,,,3,0,0,,1
